Predicted,True
22.0,2.0
22.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
22.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
21.0,2.0
21.0,2.0
21.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
23.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
8.0,2.0
14.0,7.0
14.0,7.0
14.0,7.0
14.0,7.0
14.0,7.0
14.0,7.0
14.0,7.0
14.0,7.0
14.0,7.0
14.0,7.0
14.0,7.0
14.0,7.0
14.0,7.0
14.0,7.0
14.0,7.0
14.0,7.0
14.0,7.0
14.0,7.0
14.0,7.0
14.0,7.0
14.0,7.0
14.0,7.0
14.0,7.0
14.0,7.0
14.0,7.0
14.0,7.0
14.0,7.0
14.0,7.0
14.0,7.0
14.0,7.0
14.0,7.0
14.0,7.0
14.0,7.0
14.0,7.0
14.0,4.0
14.0,4.0
14.0,4.0
14.0,4.0
14.0,4.0
14.0,4.0
6.0,4.0
14.0,4.0
4.0,4.0
14.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
2.0,4.0
2.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
14.0,4.0
14.0,4.0
6.0,4.0
14.0,4.0
2.0,4.0
2.0,4.0
4.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
2.0,4.0
2.0,4.0
2.0,4.0
2.0,4.0
2.0,4.0
4.0,4.0
4.0,4.0
2.0,4.0
2.0,4.0
2.0,4.0
2.0,4.0
6.0,4.0
6.0,4.0
2.0,4.0
2.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
17.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
17.0,4.0
17.0,4.0
6.0,4.0
17.0,4.0
17.0,4.0
6.0,4.0
6.0,4.0
17.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
24.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
13.0,4.0
6.0,4.0
6.0,4.0
13.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
13.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
2.0,4.0
2.0,4.0
5.0,4.0
5.0,4.0
5.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
3.0,4.0
3.0,4.0
6.0,4.0
6.0,4.0
2.0,4.0
2.0,4.0
2.0,4.0
2.0,4.0
2.0,4.0
2.0,4.0
2.0,4.0
2.0,4.0
2.0,4.0
0.0,4.0
0.0,4.0
0.0,4.0
1.0,4.0
3.0,4.0
3.0,4.0
2.0,4.0
3.0,4.0
3.0,4.0
3.0,4.0
1.0,4.0
1.0,4.0
3.0,4.0
3.0,4.0
3.0,4.0
3.0,4.0
3.0,4.0
3.0,4.0
3.0,4.0
3.0,4.0
3.0,4.0
3.0,4.0
3.0,4.0
3.0,4.0
3.0,4.0
3.0,4.0
3.0,4.0
3.0,4.0
3.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
3.0,4.0
3.0,4.0
3.0,4.0
3.0,4.0
3.0,4.0
3.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
6.0,4.0
18.0,3.0
16.0,3.0
16.0,3.0
16.0,3.0
18.0,3.0
18.0,3.0
18.0,3.0
15.0,3.0
15.0,3.0
18.0,3.0
15.0,3.0
15.0,3.0
16.0,3.0
16.0,3.0
16.0,3.0
16.0,3.0
16.0,3.0
16.0,3.0
16.0,3.0
16.0,3.0
16.0,3.0
16.0,3.0
16.0,3.0
16.0,3.0
18.0,3.0
16.0,3.0
16.0,3.0
18.0,3.0
18.0,3.0
18.0,3.0
18.0,3.0
16.0,3.0
16.0,3.0
16.0,3.0
16.0,3.0
16.0,3.0
16.0,3.0
16.0,3.0
9.0,3.0
9.0,3.0
9.0,3.0
9.0,3.0
9.0,3.0
9.0,3.0
9.0,3.0
9.0,3.0
18.0,3.0
18.0,3.0
18.0,3.0
18.0,3.0
18.0,3.0
18.0,3.0
18.0,3.0
18.0,3.0
18.0,3.0
18.0,3.0
18.0,3.0
18.0,3.0
18.0,3.0
18.0,3.0
18.0,3.0
18.0,3.0
18.0,3.0
18.0,3.0
18.0,3.0
9.0,3.0
9.0,3.0
18.0,3.0
9.0,3.0
9.0,3.0
9.0,3.0
9.0,3.0
9.0,3.0
9.0,3.0
9.0,3.0
9.0,3.0
9.0,3.0
9.0,3.0
9.0,3.0
9.0,3.0
9.0,3.0
9.0,3.0
9.0,3.0
9.0,3.0
9.0,3.0
9.0,3.0
9.0,3.0
18.0,3.0
18.0,3.0
18.0,3.0
18.0,3.0
18.0,3.0
18.0,3.0
18.0,3.0
18.0,3.0
18.0,3.0
18.0,3.0
9.0,3.0
9.0,3.0
9.0,3.0
9.0,3.0
9.0,3.0
9.0,6.0
9.0,6.0
9.0,6.0
9.0,6.0
9.0,6.0
9.0,6.0
9.0,6.0
10.0,6.0
10.0,6.0
10.0,6.0
10.0,6.0
10.0,6.0
11.0,6.0
11.0,6.0
11.0,6.0
11.0,6.0
12.0,6.0
12.0,6.0
9.0,6.0
9.0,6.0
9.0,6.0
9.0,6.0
9.0,6.0
9.0,6.0
9.0,6.0
9.0,6.0
9.0,6.0
9.0,6.0
9.0,6.0
9.0,6.0
12.0,6.0
12.0,6.0
9.0,6.0
9.0,6.0
9.0,6.0
9.0,6.0
9.0,6.0
9.0,6.0
9.0,6.0
9.0,6.0
9.0,6.0
12.0,6.0
9.0,6.0
9.0,6.0
9.0,6.0
9.0,6.0
9.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
12.0,6.0
7.0,1.0
7.0,1.0
7.0,1.0
7.0,1.0
7.0,1.0
7.0,1.0
7.0,1.0
7.0,1.0
7.0,1.0
7.0,1.0
7.0,1.0
7.0,1.0
7.0,1.0
7.0,1.0
7.0,1.0
7.0,1.0
7.0,1.0
7.0,1.0
7.0,1.0
7.0,1.0
7.0,1.0
7.0,1.0
7.0,1.0
7.0,1.0
7.0,1.0
7.0,1.0
7.0,1.0
7.0,1.0
7.0,1.0
7.0,1.0
7.0,1.0
7.0,1.0
7.0,1.0
7.0,1.0
7.0,1.0
7.0,1.0
7.0,1.0
7.0,1.0
7.0,1.0
7.0,1.0
7.0,1.0
7.0,1.0
7.0,1.0
7.0,1.0
7.0,1.0
20.0,5.0
20.0,5.0
20.0,5.0
20.0,5.0
20.0,5.0
19.0,5.0
19.0,5.0
19.0,5.0
19.0,5.0
19.0,5.0
19.0,5.0
20.0,5.0
20.0,5.0
19.0,5.0
19.0,5.0
19.0,5.0
20.0,5.0
20.0,5.0
20.0,5.0
20.0,5.0
20.0,5.0
20.0,5.0
20.0,5.0
20.0,5.0
20.0,5.0
20.0,5.0
20.0,5.0
20.0,5.0
19.0,5.0
20.0,5.0
20.0,5.0
20.0,5.0
20.0,5.0
20.0,5.0
